,text,label,label_name
120,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,joy
121,i was still feeling strong,1,joy
122,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,joy
123,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,anger
124,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,fear
125,i clench to the corners of the bed to feel assured,1,joy
126,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3,anger
127,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3,anger
128,i do not feel miserable at all because my family is not the type that celebrates eid,0,sadness
129,i might go get a car wash if i am feeling really generous my car needs it,1,joy
130,i still feel sleep deprived she is almost sleeping through the night giving us,0,sadness
131,i just feel really violent right now,3,anger
132,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1,joy
133,i started feeling funny and then friday i woke up sick as a dog,5,surprise
134,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0,sadness
135,i feel disgusted to even be associated with this woman by my race and nationality,3,anger
136,i laughed then bitterly again but i wasnt feeling bitter,3,anger
137,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0,sadness
138,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1,joy
139,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4,fear
140,i still feel it does the genre a disservice when stories are resolved artifically,1,joy
141,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1,joy
142,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4,fear
143,i could feel her whimper to the thought of being unloved and uncared for,0,sadness
144,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5,surprise
145,im sorry that there wasnt more humor in this post but im not feeling all that funny,5,surprise
146,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1,joy
147,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3,anger
148,i feel strange coming back to work after my one day holiday,4,fear
149,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3,anger
150,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0,sadness
151,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3,anger
152,i feel so sad and hopeless,0,sadness
153,im getting the feeling that my classes are a little intimidated by the concept of a lit,4,fear
154,i still feel groggy but i have to get up to do the routine for my son,0,sadness
155,i have a feeling my view isnt going to be very popular and thats fine,1,joy
156,i want to hold this feeling of shocked awe and wonder forever,5,surprise
157,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4,fear
158,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1,joy
159,i know there are days in which you feel distracted,3,anger
160,i use it regularly with relaxing music and always feel invigorated afterward,1,joy
161,im feeling distracted i tend to practice with my eyes shut as much as possible,3,anger
162,i feel like its perfect a w see youtube has its influences i even know trends,1,joy
163,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,4,fear
164,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4,fear
165,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0,sadness
166,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,1,joy
167,i hope to feel a bit more creative again soon and miss its presence in my life blog,1,joy
168,i am no fan of the current president i am a conservative and it made me feel unwelcome,0,sadness
169,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,5,surprise
170,i begin to feel complacent with my life here,1,joy
171,i feel vulnerable and alone,4,fear
172,i remember feeling inspired and thinking that it was a fine example of parenting,1,joy
173,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0,sadness
174,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,1,joy
175,im there i simply feel contented,1,joy
176,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,1,joy
177,i think im just being stupid feeling nervous,4,fear
178,i feel honored by it,1,joy
179,i was feeling an act of god at work in my life and it was an amazing feeling,5,surprise
180,i feel im like a bird flying in the air in a very carefree manner,1,joy
181,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3,anger
182,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0,sadness
183,i died would alex and matt feel regretful for not coming to visit,0,sadness
184,i feel that educating families and supporting and educationg mamas and papas is key,1,joy
185,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3,anger
186,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0,sadness
187,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,1,joy
188,i feel like i talented young man i don t feel talented then i don t to work with,1,joy
189,i feel curious about all this things around,5,surprise
190,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,1,joy
191,i feel now so uncomfortable with all of them i guess is me,4,fear
192,i feel pretty mellow so far about whatever healing wounding process may be getting underway,1,joy
193,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4,fear
194,i legs would feel shitty for a few miles but would come around like they always do,0,sadness
195,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,4,fear
196,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0,sadness
197,i am feeling pretty restless right now while typing this,4,fear
198,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,0,sadness
199,i wrote last year when i was feeling more dull and inarticulate than normal,0,sadness
200,id kick myself into gear but i just feel irritable with no motivation what so ever,3,anger
201,i feel as a child innocent feelings illustrating a,1,joy
202,i will start to feel resentful,3,anger
203,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,0,sadness
204,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,5,surprise
205,i feel so fucked like everyday of my life,3,anger
206,ive worked really hard all year to try to make each child in the class feel like they are valued,1,joy
207,i am feeling disheartened with my words as of late,0,sadness
208,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,3,anger
209,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,1,joy
210,i don t feel like eggs benedict i ll have something equally delicious,1,joy
211,im feeling my way through and trusting myself,1,joy
212,im feeling inspired by all the summery elements of my favorite past time beach bummin,1,joy
213,i can feel that she smiled i love you even more gorgeous,1,joy
214,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,0,sadness
215,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,1,joy
216,i was feeling over eager and hopped on to the tube to ride the eye of london,1,joy
217,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,0,sadness
218,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,3,anger
219,i feel like that s so weird that i had cancer that one time,5,surprise
220,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,1,joy
221,im feeling cranky,3,anger
222,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,1,joy
223,i feel stressed always,0,sadness
224,i remember feeling another cramp but i also ignored it,0,sadness
225,i hope i feel mellow well fed well slept at peace with myself within this external world,1,joy
226,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,0,sadness
227,im feeling awful because we hung out with my friend and her new baby the day before,0,sadness
228,i feel very relaxed and fine,1,joy
229,i feel the suffering and i really feel the pain,0,sadness
230,i go to sleep i feel as if i m giving up precious time to do something else with my life,1,joy
231,i feel like i ve been neglecting my beloved mom blog,1,joy
232,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,1,joy
233,i just feel terrified like im on the edge of a precipice staring ahead,4,fear
234,i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,0,sadness
235,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,3,anger
236,i feel as if i was abused in some way,0,sadness
237,im still paying attention but i feel distracted,3,anger
238,im hesitant to make suggestions because i feel as if the outcome would not be sincere,1,joy
239,i can feel myself gaining control over the damaged goods aspects of my personal security,0,sadness
240,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,1,joy
241,i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,1,joy
242,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,1,joy
243,i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,0,sadness
244,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,1,joy
245,i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,0,sadness
246,i have my own mind and i feel like my mind is dangerous to my life,3,anger
247,i feel as if i should be punished for neglecting you,0,sadness
248,i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,0,sadness
249,i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,0,sadness
250,i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,0,sadness
251,id just had a terrible nightmare and was feeling a little disturbed,0,sadness
252,i didnt want to walk passed there just in case the customers feel disturbed,0,sadness
253,i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,0,sadness
254,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,4,fear
255,i am so festive this feels so delicious wheeeeee what a great night,1,joy
256,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,0,sadness
257,im sick of feeling crappy,0,sadness
258,i feel like i almost convinced myself this is going to be the pattern,1,joy
259,i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,0,sadness
260,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,3,anger
261,i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,0,sadness
262,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,1,joy
263,i seriouly feel i am not being respected i dont have my privacy i am being ordered around,1,joy
264,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,1,joy
265,i personalities that can feel pain and suffering,0,sadness
266,i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,1,joy
267,i was warming up starting feeling a little lethargic,0,sadness
268,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,1,joy
269,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,1,joy
270,im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,1,joy
271,im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,0,sadness
272,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,0,sadness
273,ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,0,sadness
274,i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,4,fear
275,i can finally stop feeling listless and like a waste of space,0,sadness
276,i know im feeling agitated as it is from a side effect of the too high dose,4,fear
277,i do feel a shift in me to being more positive,1,joy
278,i am feeling brave enough,1,joy
279,fear of thief,4,fear
280,i feel clever nov,1,joy
281,i always spend more money there than i mean to and feel dissatisfied when i exit the store,3,anger
282,im feeling really quite angry,3,anger
283,i feel really ashamed,0,sadness
284,i feel to have these amazing people in my life,5,surprise
285,i finally left feeling judged and ridiculed because i am intelligent,1,joy
286,i is starting to feel a bit insulted by this stranger,3,anger
287,i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,0,sadness
288,i actually feel sorrowful,0,sadness
289,i see women wearing boots i feel envious that i want to curse them,3,anger
290,i go up to her and i say feeling very impressed with myself youre naomi klein right,5,surprise
291,i began to feel each of my senses dull until the cold black unconsciousness over came me,0,sadness
292,i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,1,joy
293,i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,3,anger
294,i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,1,joy
295,i feel empty when the baby isnt there,0,sadness
296,i stopped feeling so exhausted a href http provokingbeauty,0,sadness
297,im feeling font friendly,1,joy
298,i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,1,joy
299,i always feel intimidated by other people especially when they always compare me to other people ever since i was young,4,fear
300,i be made to feel rotten,0,sadness
301,i started feeling hostile and i am checking my hemorrhoids,3,anger
302,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,1,joy
303,i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something,1,joy
304,im feeling far more mellow than normal,1,joy
305,i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,1,joy
306,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,1,joy
307,im feeling lucky width li style border px list style outside margin px px,1,joy
308,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,1,joy
309,i didnt say was that strong feelings always make me skeptical at first,4,fear
310,i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,4,fear
311,i am beginning to feel that theres a good chance i might pass,1,joy
312,i feel like i have a little more control and can help sweet pea better if i know what is ahead,1,joy
313,i feel like i m on the receiving end of a violent attack,3,anger
314,i feel it is worthwhile to document it for people who are not familiar with batch files,1,joy
315,i and i are feeling especially thankful for so many small blessings in our life right now,1,joy
316,i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative,1,joy
317,i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside,0,sadness
318,i feel a bit funny actually,5,surprise
319,i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,1,joy
320,i am feeling is also a blossoming eager anxiety,1,joy
321,i feel burdened to share it,0,sadness
322,i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to,5,surprise
323,im not feeling the outfit but the heels are gorgeous,1,joy
324,i feel confused after that,4,fear
325,i feel that the session was useful and gave me tools i need to move forward in my life,1,joy
326,i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,3,anger
327,i feel envious and embarrassed,3,anger
328,i could feel the frantic need in him the need to make me his,4,fear
329,i am feeling overwhelmed with the responsibilities of being a teacher that someone is trusting me with their most precious gift and it is an honor,5,surprise
330,i feel so tranquil right now its great,1,joy
331,i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,3,anger
332,i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved,0,sadness
333,i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome,0,sadness
334,i tend to stop breathing when i m feeling stressed,0,sadness
335,i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes,4,fear
336,i will go to my mailbox and talk to the mailman then the grocery clerk etc but no matter how small the step or how limited the risk a complete and total willingness to experience whatever thoughts feelings and sensations emerge is important,1,joy
337,i am already feeling frantic,4,fear
338,i feel like this insecurity is a good thing when i first started writing i pictured it all,1,joy
339,i should feel complimented or insulted,3,anger
340,i crave as i fall into submission and i did not feel submissive in the least,0,sadness
341,i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,3,anger
342,i made it to work but i am feeling a little groggy,0,sadness
343,ill get round to it this quarter im feeling hopeful about this one,1,joy
344,im starting to feel unwelcome in life and some people can already tell this,0,sadness
345,i feel absolutely fantastic and i hope baby does too,1,joy
346,i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,1,joy
347,i feel bitter and just honkerblonked off in general,3,anger
348,i have a feeling that your father already convinced him of that,1,joy
349,i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,1,joy
350,i am feeling humorous i put cold callers on hold,1,joy
351,i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,0,sadness
352,i feel energized and curious again about life about god about my potential to give something back to society and about finding someone after my heart,5,surprise
353,i feel very privileged but it is also a lot of work,1,joy
354,im pretty happy but a little on the nauseated side to feel thrilled,1,joy
355,i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart,0,sadness
356,i bought a virtually fat free thousand islands and feeling very impressed with myself hold large quantities of this substance on the leaves of lettuce and cucumber with my friend but it will be total sugar becomes if you do not burn fat,5,surprise
357,im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,3,anger
